Time,V,n,m,h
4.04,-40.21809,0.75591767,0.7317519,0.070914544
4.05,-45.622143,0.7617443,0.69651246,0.07012921
4.06,-47.556423,0.75442266,0.7037523,0.07593946
4.07,-45.305897,0.76687187,0.7387719,0.08350755
4.08,-46.373646,0.76116043,0.7135408,0.079348266
4.09,-47.469635,0.7702527,0.69675803,0.07568412
4.1,-48.154594,0.76144516,0.6509038,0.07008982
4.11,-48.993122,0.7727288,0.6584874,0.07497747
4.12,-49.031776,0.75850534,0.664107,0.07414304
4.13,-51.275806,0.76291597,0.6686895,0.07507655
4.14,-48.71912,0.76037306,0.65693235,0.08436713
4.15,-52.26152,0.7558462,0.63361305,0.075695
4.16,-49.882824,0.7636475,0.5989902,0.07242011
4.17,-51.770203,0.7584278,0.5911976,0.075912304
4.18,-53.541145,0.75695604,0.6051099,0.07196175
4.19,-54.237034,0.7559505,0.6087604,0.07163545
4.2,-55.00004,0.75554985,0.55902326,0.078518614
4.21,-55.936478,0.7633882,0.5719951,0.08855592
4.22,-56.1072,0.7523811,0.5457874,0.08040517
4.23,-58.452538,0.75871927,0.5387749,0.07818322
4.24,-57.975918,0.7467313,0.5319732,0.07631028
4.25,-60.18523,0.7629338,0.5109943,0.090340905
4.26,-57.3892,0.7487657,0.48080742,0.07842801
4.27,-56.3513,0.75677055,0.49163258,0.08719466
4.28,-59.3651,0.7525994,0.49221942,0.08638489
4.29,-60.83273,0.7534104,0.4652497,0.083682925
4.3,-60.45987,0.7500588,0.42449456,0.08496398
4.31,-61.37867,0.7560729,0.4343417,0.08171028
4.32,-62.60492,0.7600488,0.44640237,0.07773338
4.33,-63.500763,0.7475469,0.43911034,0.079695806
4.34,-60.76976,0.7466791,0.38993144,0.09134368
4.35,-66.02921,0.7491398,0.38200423,0.08120541
4.36,-65.29323,0.75151956,0.37740815,0.09133461
4.37,-62.972446,0.74702835,0.33861268,0.08493398
4.38,-66.27918,0.74592423,0.33750597,0.084531814
4.39,-66.38677,0.7439784,0.3499066,0.08750245
4.4,-65.594604,0.73628175,0.3134418,0.096411414
4.41,-66.534935,0.74162304,0.3101173,0.08764924
4.42,-69.26435,0.73798907,0.30461547,0.08738609
4.43,-69.709915,0.7439094,0.291299,0.08326823
4.44,-69.276764,0.738763,0.28208032,0.08968723
4.45,-70.47017,0.7327677,0.2538176,0.09423814
4.46,-70.259995,0.7391297,0.25312334,0.0891869
4.47,-66.46761,0.73589694,0.22833464,0.088899985
4.48,-70.652,0.744137,0.23971657,0.10139704
4.49,-69.2158,0.7310645,0.21248929,0.09593526
4.5,-72.73064,0.73997974,0.21214356,0.101162754
4.51,-73.70309,0.73329276,0.20189479,0.09459298
4.52,-72.31544,0.73878145,0.15895446,0.101234324
4.53,-72.277374,0.7356481,0.1848476,0.09842837
4.54,-72.80505,0.7286905,0.16953148,0.107154615
4.55,-74.91648,0.7396835,0.13263786,0.10727651
4.56,-72.5767,0.732802,0.14948499,0.11358457
4.57,-74.80217,0.72709507,0.13017333,0.099078335
4.58,-73.73621,0.72645766,0.1269044,0.10960865
4.59,-72.09634,0.73709315,0.10099603,0.10253142
4.6,-71.327774,0.71601164,0.12256692,0.11209062
4.61,-73.22006,0.72131896,0.09491332,0.10433869
4.62,-73.58427,0.7224043,0.092372246,0.11289586
4.63,-75.49269,0.7233587,0.09383763,0.10761837
4.64,-73.36905,0.72463566,0.10037674,0.11354641
4.65,-72.84244,0.7227001,0.11174165,0.10749235
4.66,-74.11434,0.7141314,0.082103066,0.11149262
4.67,-74.43436,0.7184521,0.060665965,0.107701726
4.68,-72.623535,0.71574503,0.06427084,0.10870669
4.69,-73.662506,0.7166811,0.054218523,0.11536308
4.7,-74.01979,0.7153235,0.0529823,0.121362425
4.71,-75.47628,0.71283007,0.043661185,0.119969934
4.72,-76.85561,0.7076565,0.03639107,0.12627502
4.73,-72.94397,0.7152544,0.068260826,0.11902677
4.74,-73.89734,0.7116294,0.05390395,0.12058725
4.75,-74.22777,0.7128806,0.041837893,0.11703883
4.76,-74.07067,0.71306753,0.059908018,0.121685915
4.77,-74.28422,0.70750195,0.04394299,0.11950844
4.78,-72.66322,0.71830153,0.046298318,0.12560335
4.79,-74.55948,0.7003108,0.05218953,0.12187995
4.8,-73.85625,0.70331687,0.039918862,0.12867163
4.81,-74.195854,0.7123125,0.048739888,0.12780675
4.82,-75.04293,0.7195477,0.058089793,0.13238291
4.83,-75.78206,0.71668607,0.032988455,0.13344553
4.84,-74.99227,0.70104617,0.053767804,0.13523181
4.85,-73.90605,0.7068293,0.034360927,0.12682801
4.86,-73.31618,0.7044641,0.018398264,0.12825578
4.87,-75.95785,0.7019537,0.036287177,0.12632585
4.88,-76.43449,0.7059619,0.032186214,0.13342147
4.89,-76.18011,0.70074284,0.03161257,0.13083607
4.9,-73.97979,0.6908105,0.013117107,0.13617583
4.91,-75.788765,0.70245546,0.04479242,0.12974063
4.92,-74.073906,0.7023005,0.027154924,0.14029634
4.93,-74.94055,0.69691265,0.01793198,0.14131498
4.94,-73.38634,0.69523025,0.03325855,0.14529437
4.95,-75.22722,0.69579124,0.05301612,0.1540084
4.96,-75.89464,0.68940365,0.034645054,0.13896431
4.97,-74.66898,0.68713987,0.016394585,0.13702801
4.98,-74.71608,0.6887125,0.020626878,0.14584897
4.99,-73.8688,0.6935889,0.014163559,0.14998843
5.0,-75.0462,0.67518544,0.040715884,0.1428356
5.01,-72.95589,0.6840245,0.03149043,0.14737087
5.02,-73.652824,0.68804246,0.007932457,0.14067371
5.03,-72.55098,0.68999946,0.004163606,0.1435148
5.04,-75.12996,0.68392926,0.008932224,0.14771396
